,0
0,-5378.254033802077
1,-5270.378465188434
2,2736.6931666838937
3,-9972.335987317143
4,-6519.5392764906865
5,5327.935686687473
6,-1341.8527701052371
7,-2107.6724334829487
8,7126.330162210623
9,-4347.570936039323
10,-9153.311789382482
11,6327.90829705284
12,-6309.064020079561
13,3907.9801325863227
14,4542.732795384247
15,1815.6105261060875
16,566.2501227380708
17,-5885.263795356499
18,-6507.451500559691
19,362.4926988913212
20,3931.254741550656
21,9299.678720129887
22,1113.9117335996125
23,-230.78112146747299
24,-6416.991137769539
25,3932.2196733215824
26,9130.082426399924
27,6812.801916759927
28,3160.7640159144066
29,3269.979073595023
30,-904.3746349366847
31,1131.9567783277016
32,3068.6401825016364
33,3252.729251734214
34,1158.5233107323293
35,-1072.3229073316325
36,-2866.4703023629263
37,-2160.1117710827384
38,18221.653720492497
39,-4458.712805289542
40,-3118.9881209132727
41,454.9658856880851
42,-1458.3038335067686
43,-5939.188832510263
44,2548.9972999535967
45,1488.0191197530366
46,-587.1380292430986
47,-3245.9453721796162
48,8883.642488083802
49,-2174.896889369469
50,1816.2769086123444
51,3586.1868358827196
52,-11953.500917087775
53,1234.5674090771936
54,3048.799663344398
55,-4407.839749173727
56,3584.4146470588166
57,9381.62084913929
58,-4333.681866049068
59,4577.6718905509915
60,-5786.481048050569
61,-2579.8389059770852
