,0
0,1524119.1562769092
1,1519903.6558961794
2,1522920.5148963481
3,1527072.4515034105
4,1526159.440156002
5,1526159.440156002
6,1526159.440156002
7,1526159.440156002
8,1526141.5085943805
9,1524515.2778228654
10,1525829.2161457888
11,1527047.778928881
12,1525298.1788808242
13,1524532.9319865557
14,1524532.9319865557
15,1524532.9319865557
16,1524532.9319865557
17,1524532.9319865557
18,1523213.7277346458
19,1523050.7525942684
20,1518211.9328743326
21,1522159.5620891228
22,1521642.3252974025
23,1521169.2808185332
24,1521169.2808185332
25,1521169.2808185332
26,1521169.2808185332
27,1521169.2808185332
28,1521169.2808185332
29,1521169.2808185332
30,1521169.2808185332
31,1521169.2808185332
32,1521169.2808185332
33,1521169.2808185332
34,1521169.2808185332
35,1521169.2808185332
36,1521169.2808185332
37,1521169.2808185332
38,1521169.2808185332
39,1521169.2808185332
40,1521169.2808185332
41,1521169.2808185332
42,1521169.2808185332
43,1521169.2808185332
44,1521169.2808185332
45,1521169.2808185332
46,1521169.2808185332
47,1521169.2808185332
48,1521169.2808185332
49,1521169.2808185332
50,1521169.2808185332
51,1521169.2808185332
52,1521169.2808185332
53,1521169.2808185332
54,1521169.2808185332
55,1521169.2808185332
56,1521169.2808185332
57,1521169.2808185332
58,1521169.2808185332
59,1521169.2808185332
60,1521169.2808185332
61,1521169.2808185332
62,1521169.2808185332
