,0
0,1000000.0
1,999519.674847623
2,1000168.3052470747
3,997398.7490443451
4,996597.6174661161
5,994138.2398423089
6,990949.3389925861
7,991753.4839894284
8,985125.7017420793
9,985023.1632529143
10,985012.2912567431
11,969898.9261665716
12,984216.2049943681
13,979369.8966555151
14,979623.6704610031
15,976746.1030296877
16,980336.4345514341
17,991107.3927550968
18,974708.0843087722
19,970059.2158903193
20,966158.715527623
21,973037.6320366035
22,968660.39697535
23,980813.888568175
24,996589.7096619463
25,991901.6754484413
26,962380.9799948595
27,965250.7076112672
28,965795.3495510843
29,955888.9102628024
30,926121.774322263
31,928615.5887351322
32,922050.6018173445
33,912264.8467424032
34,888685.73076162
35,915067.2255663129
36,903644.4455845752
37,894945.4093271287
38,878551.010088924
39,843562.2676375677
40,839964.5222575977
41,856467.42778906
42,815101.7603742842
43,823730.0759648901
44,815479.7485203423
45,871969.0039993731
46,866255.904274384
47,903365.7918558537
48,911595.2504698662
49,906858.2044400502
50,938231.5502854316
51,953615.6228886812
52,939680.4416481177
53,912694.6285486618
54,989588.6376994643
55,970811.8313256102
56,984373.4071206263
57,1007013.797864711
58,983250.7993525974
59,947531.7690594511
60,961371.751742565
61,980586.1907080692
62,1008087.1487072142
63,1022300.094894575
64,1011976.420630531
65,986163.186526241
66,994026.6121077912
67,1035259.8189456126
68,1030903.9001137757
69,1004990.406605109
70,1020927.4265978496
71,1023882.8163339158
72,1020724.555097483
73,979229.0428808826
74,1005075.4240428566
75,990792.0712153683
76,1005483.4371652972
77,1019421.4296590922
78,1011548.8969479473
79,1020458.1345367185
80,1047668.6780922425
81,1031101.1052585887
82,1038396.4401104316
83,1063980.290350564
84,1052620.699839665
85,1067622.4024920505
86,1054762.9144518273
87,1089922.47842618
88,1057257.0114177738
89,1065565.5305044209
90,1047759.1832540539
91,1057111.9418361227
92,1044378.3721962495
93,1074273.743142172
94,1063102.7427008795
95,1049134.2062807383
96,1039257.9280647392
97,1037931.4590622992
98,1067218.0393820938
99,1041546.7555895648
100,1059212.872646567
101,1067988.4554524447
102,1096077.2561207372
103,1100100.7587679594
104,1090272.5369469018
105,1107655.0821104592
106,1105775.2303603545
107,1111313.351364148
108,1110894.4732439527
109,1111201.197301599
110,1109837.020230818
111,1108554.655928396
112,1086989.867119786
113,1072473.2309712213
114,1068939.032022782
115,1076358.7592549797
116,1075780.5436280668
117,1042090.1083574409
118,1041735.8180976221
119,1035439.1610695084
120,1054822.4200646344
121,1049666.96137991
122,1062608.6746551888
123,1053515.5291400382
124,1056927.3655459534
125,1023777.071029248
126,1025503.9269034175
127,1008483.3577774963
128,1008858.6439307722
129,1010672.8446398386
130,997027.0625514361
131,1020024.7651171051
132,1024237.4501133743
133,1057024.4313005134
134,1060764.048400886
135,1066463.3175725867
136,1074534.6979320734
137,1086414.6892183872
138,1084677.3148671305
139,1107619.4080271334
140,1114974.140582152
141,1119932.8503267989
142,1113907.307995244
143,1108175.3322076688
144,1107660.7704261043
145,1108998.5848165522
146,1124281.01652965
147,1128162.9301502153
148,1128345.8058833738
149,1124393.9004064973
150,1134400.4666951105
151,1129788.267296407
152,1111005.2469386882
153,1129836.5646162073
154,1137669.9227837834
155,1126851.9733386459
156,1098125.7889807504
157,1106990.1481365543
158,1118254.4279427615
159,1128614.7136266408
160,1149677.9205187606
161,1156204.604923696
162,1159844.162349769
163,1167021.824638137
164,1168828.2394153846
165,1162855.375845257
166,1156557.942121784
167,1137295.9784978093
168,1131095.3298823251
169,1140411.9602405324
170,1151171.9640976705
171,1162381.1395260112
172,1163532.4972882895
173,1166172.4379168246
174,1158215.2169016812
175,1164187.4210150307
176,1158583.5360706514
177,1175387.015126746
178,1169864.038802749
179,1171759.1772915353
180,1168837.6662159427
181,1177064.4859908624
182,1161066.2936012219
183,1155550.891095495
184,1147967.4790250547
185,1168364.701625318
186,1168386.8932982422
187,1160739.5316199274
188,1136066.7073469518
189,1131625.315019982
190,1149079.7239779027
191,1165959.5322834044
192,1169194.3328497817
193,1172974.376211766
194,1179499.4007551689
195,1185260.0583769458
196,1184294.2676828566
197,1206177.09734064
198,1216562.09387043
199,1215256.4336894029
200,1222187.303061602
201,1213921.0177433295
202,1204654.9434246453
203,1227539.0349567044
204,1214301.5153062474
205,1201994.8691676469
206,1212151.0235005058
207,1192467.7097825955
208,1210389.0600660518
209,1170211.4775792102
210,1181269.9422111195
211,1176296.954988781
212,1174413.144319191
213,1198716.9462230795
214,1200653.0150763097
215,1216468.2261451685
216,1213011.2096119216
217,1219671.3296048355
218,1203486.6422173602
219,1208594.8513287976
220,1227797.0266991295
221,1233172.882961068
222,1236529.881974411
223,1225765.5161327193
224,1222212.7794010711
225,1241749.7122541512
226,1240777.7070508746
227,1244666.518488498
228,1222990.9592970614
229,1229570.9795971652
230,1241596.6224117253
231,1236688.442552594
232,1223473.1300959769
233,1218773.6957966327
234,1213764.0373036878
235,1201253.4470466885
236,1201390.2791628323
237,1201708.3552240534
238,1206373.306484889
239,1181755.0231983198
240,1171367.1314286164
241,1164572.895367234
242,1152226.9743577356
243,1152745.0753602951
244,1162796.3620174432
245,1165991.0902943728
246,1162021.3808646072
247,1169717.3486968626
248,1173080.40922799
249,1170451.0306235657
250,1170280.1888062397
251,1161362.7743236392
252,1178244.7555906386
253,1182157.8114911558
254,1187315.1142034149
255,1192400.2570448813
256,1188286.732054821
257,1193665.1724978688
258,1186019.8641523162
259,1189201.4836954626
260,1190911.2291384067
261,1178870.1236004112
262,1181719.371511147
263,1169067.583353713
264,1141153.0597396803
265,1124524.8166415999
266,1124017.1779152607
267,1123990.9029193681
268,1128126.9017177462
269,1118711.3037321127
270,1114336.99060661
271,1135628.7211343546
272,1149987.4643211141
273,1140848.1065180046
274,1107495.071472275
275,1109629.1538607
276,1101961.5954331546
277,1116444.900364649
278,1113901.561013653
279,1120546.6747696823
280,1115505.3415551484
281,1139518.85210613
282,1138430.8057167786
283,1144139.3351823324
284,1142153.1318056677
285,1142683.639967609
286,1134087.24336534
287,1148595.5904149918
288,1145149.4925914665
289,1147224.7226268467
290,1152122.2422841124
291,1151263.2424651897
292,1151147.7176366197
293,1153407.8835549834
294,1170097.4081662367
295,1169840.2124585104
296,1170062.453841482
297,1174987.8137762365
298,1178362.2682680304
299,1174740.6052761055
300,1174112.917070954
301,1178538.0790780187
302,1188141.2655669088
303,1189092.170874826
304,1182925.8659637598
305,1187150.9430993362
306,1192751.0380216017
307,1187582.5477944647
308,1188575.6434197742
309,1192454.7952732164
310,1200886.9858899475
311,1197294.9028253534
312,1193966.1880006937
313,1202473.4302389196
314,1209205.9092284588
315,1207056.2896456271
316,1198288.2280059892
317,1206229.398504608
318,1216617.4941696173
319,1216494.0369832425
320,1217014.327256029
321,1227283.1948545175
322,1223828.6151838494
323,1208607.151596908
324,1213284.3407770914
325,1222618.6993431386
326,1220541.4716253974
327,1218084.3601109672
328,1226998.617392403
329,1220979.113622972
330,1197844.3794016049
331,1210092.0206459225
332,1211576.391780357
333,1193339.5621117034
334,1202904.0044006181
335,1181654.0358917199
336,1181276.744287813
337,1140127.306584232
338,1132927.3330324423
339,1163752.1751868092
340,1156658.4160842588
341,1164523.4521325254
342,1153898.0384496222
343,1136739.4198978469
344,1136907.8125368592
345,1126158.8430907484
346,1120569.2358139474
347,1078557.4045467956
348,1094896.4375478681
349,1081220.992642637
350,1079552.1664267045
351,1072221.1313592193
352,1105015.426093372
353,1087973.3169227515
354,1071498.3134674802
355,1095463.789336727
356,1098744.7115023078
357,1061144.0771686628
358,1051834.203903638
359,1077128.0352805255
360,1061749.1928761434
361,1088966.3984027035
362,1084703.3521118283
363,1077055.0849368188
364,1095785.8184677868
365,1092953.3548477455
366,1093808.141435439
367,1103810.808038223
368,1099538.746781159
369,1077900.881701004
370,1072099.0391210786
371,1052329.3502628803
372,1046559.489819406
373,1036646.9622643397
374,1011921.7180958033
375,1003691.6901393294
376,996938.6604466065
377,993517.4968601272
378,1004429.4194859157
379,1027057.471425647
380,1033849.786417431
381,1038354.6514920013
382,1042885.3073507088
383,1057128.1893413237
384,1054889.1693411362
385,1056069.1870133008
386,1028587.3422793665
387,1032744.9889114071
388,1047891.1288152671
389,1030580.3011186853
390,1051978.701778108
391,1060803.5636097647
392,1070638.0711617214
393,1071974.10572254
394,1069494.9437020228
395,1062063.6803350768
396,1058600.0207622072
397,1090505.8477693768
398,1092173.6276695158
399,1094737.1354804537
400,1094122.2166787835
401,1083568.7845511814
402,1087788.640808761
403,1077947.889178084
404,1050757.539134563
405,1045657.4972686849
406,1040356.7032190085
407,1041695.0503092767
408,1055162.599840225
409,1052826.4004852443
410,1036369.6812324389
411,1033676.3656744232
412,1038692.7545138281
413,1029286.2642493036
414,1031415.2967439417
415,1022370.8010699002
416,1040782.7995294691
417,1025098.3934610197
418,1025363.3751339153
419,1056114.6160373373
420,1065335.5243240814
421,1075335.1480919698
422,1061665.6985518017
423,1067874.8719070489
424,1074876.503179859
425,1076693.198376135
426,1083471.6636411417
427,1083456.7685495007
428,1085019.419668783
429,1085801.2729796297
430,1079745.2795746818
431,1096422.1981576898
432,1095811.3647666837
433,1093004.907218996
434,1085338.0012675687
435,1100499.647736679
436,1095320.2198963473
437,1105721.370538824
438,1097799.6394424015
439,1097650.6200152747
440,1107996.9248754445
441,1103899.6117258635
442,1119861.3228123623
443,1128748.849553559
444,1125593.893371649
445,1130580.8724650664
446,1133586.4795096535
447,1134976.1510703848
448,1135751.832487641
449,1130332.5645822526
450,1123124.8973950883
451,1137308.8493194082
452,1121011.6542570307
453,1134078.372456602
454,1141639.5915080006
455,1140664.7641432683
456,1137012.9817355287
457,1140767.0606750618
458,1130148.939257284
459,1136633.4881662596
460,1137545.6415037457
461,1140589.4353477017
462,1152833.0020534552
463,1159058.4090572223
464,1185871.3037127524
465,1194234.012199871
466,1192445.8112014972
467,1193041.8637025366
468,1199984.3494016929
469,1199181.0202271722
470,1186979.1520617418
471,1182747.225597288
472,1167978.5687764944
473,1161239.029520234
474,1176594.2896783617
475,1181007.0627387261
476,1173648.6057947779
477,1154347.8898749852
478,1167607.9207919622
479,1157175.3550316668
480,1160874.9182007767
481,1157878.2820011228
482,1186914.5164041107
483,1202288.2197424835
484,1202214.1296694535
485,1202933.2732865901
486,1203873.5277507901
487,1212566.0780852188
488,1217236.872682591
489,1221725.205253917
490,1224124.2654790198
491,1221462.9582120783
492,1216207.6515986088
493,1222647.794583705
494,1219614.6183294603
495,1219374.8433506566
496,1226430.4025497378
497,1234762.7118583152
498,1238965.8888168829
499,1240337.474720387
500,1244439.8593375762
501,1242967.1334863692
502,1241738.5606475163
503,1240518.7813687308
504,1261735.2639922036
505,1265354.3265755796
506,1265294.4035159594
507,1266878.5747322112
508,1266795.3137412549
509,1262040.0103155302
510,1271764.9727482486
511,1286634.4904644813
512,1289306.2107595766
513,1304045.2746241617
514,1313513.0189241662
515,1301330.137155742
516,1308717.085845074
517,1321337.8548012106
518,1318454.423367915
